Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
150,Kyleigh Brown,Lehigh,Jr.,5-6,L/DS,101,416
-,Millie O'Ketter,Northern Ariz.,Sr.,5-6,DS,97,416
-,Vanessa Ramirez,Utah,Sr.,5-4,L/DS,117,416
-,Gala Trubint,Southern California,So.,5-8,L/DS,125,416
154,Taryn Whittingham,Villanova,Sr.,5-6,L/DS,118,415
155,Madyson Chitty,Rutgers,Sr.,5-5,L,115,414
-,Alex Laboy,Bowling Green,Sr.,5-5,DS,115,414
157,Reese Burry,FGCU,Fr.,5-3,L,118,413
158,Camilla Covas,West Virginia,Sr.,5-6,DS,113,412
-,Julia Orzol,Wisconsin,Jr.,6-0,L,119,412
160,Karly Basham,Washington St.,Sr.,5-8,L/DS,124,411
161,Kamryn Farris,South Dakota,So.,5-11,DS,115,409
162,Peyton Neal,Marshall,Fr.,-,OH,110,408
163,Nyah Ellis,Grambling,Sr.,5-5,L/DS,102,407
-,Angelika Rusin,Charleston So.,Sr.,5-8,L/DS,98,407
-,Elise Swistek,Valparaiso,Jr.,5-9,OH,120,407
166,Taylor Head,Arkansas,Sr.,5-10,OH,127,406
-,Hannah Howard,UMBC,Fr.,5-7,L/DS,87,406
168,Kaia Dunford,Kansas City,Sr.,5-11,OH,125,405
-,Ali Ruffin,The Citadel,Jr.,5-11,OH,117,405
-,Abigail Schlueter,Memphis,Fr.,5-7,L,111,405
171,Vanessa Del Real,Akron,Fr.,5-6,L,112,404
172,Kayla Carrell,UT Martin,Sr.,5-6,L/DS,95,403
-,Kate Standifird,Weber St.,Jr.,5-8,S,117,403
-,Yelianiz Torres,Tennessee,Sr.,5-7,L,103,403
-,Ansley Tullis,Southeastern La.,Sr.,5-8,DS,115,403
176,Jordan Gower,Elon,Sr.,5-4,L/DS,96,402
177,Sara Carrizales,Abilene Christian,So.,5-8,L/DS,113,400
-,Aine Doty,Idaho,So.,5-7,L,86,400
-,Eileen Gex,Delaware,Sr.,5-3,L/DS,111,400
-,Iliana Rodriguez,Virginia Tech,Sr.,5-5,L/DS,105,400
181,Jaclyn Oblena,UIC,Sr.,5-4,L/DS,111,399
182,Maddie Correa,Texas Tech,Jr.,5-6,L,112,398
-,McKenna  Douglas,San Diego St.,So.,5-7,L/DS,107,398
-,Skye Stokes,NC State,Sr.,5-9,L/DS,109,398
185,Hattie Monson,Notre Dame,Sr.,5-6,L/DS,101,397
186,Kendra Wait,Creighton,Jr.,5-10,S,116,396
187,Hannah Hoover,Navy,Jr.,5-8,L/DS,103,394
-,Julia Ng,UC Davis,Jr.,5-5,L/DS,111,394
189,Jillian Hanna,Canisius,So.,5-9,L,102,392
-,Alyssa Sianez,UTEP,Sr.,5-3,DS,131,392
191,Callie Kemohah,Oklahoma,Jr.,5-6,L/DS,109,391
-,Tatum Thomas,Grand Canyon,So.,5-6,L/DS,108,391
193,Sarah Schrader,Milwaukee,Sr.,5-8,DS,120,390
194,Sydney Stewart,Towson,So.,5-9,L/DS,92,388
195,Madison Bryant,Duke,Sr.,5-10,L/DS,107,387
-,Avery Kalsu,Tulsa,Sr.,5-10,S,123,387
197,Trinity Bryant,Jackson St.,Jr.,5-4,DS,112,386
-,Savana Chacon,Long Beach St.,Jr.,5-8,DS,111,386
199,Maddy May,North Carolina,So.,5-10,L/DS,105,385
-,Hannah Pukis,Oregon,Sr.,5-11,S,126,385
201,Kyla Berg,Fairfield,Sr.,5-4,L/DS,102,384
202,Stella Winterfeld,South Dakota St.,Fr.,5-9,OH,101,383
203,Alessia Buffagni,San Jose St.,Jr.,5-6,L,107,382
-,Ali  Morris,Western Caro.,So.,5-11,OH,106,382
205,Darby Harris,Rice,So.,5-9,S,112,380
-,Grace Moss,CSU Bakersfield,Fr.,5-5,L/DS,113,380
-,Jasmine Rogers,Sacred Heart,Sr.,5-10,OH,94,380
208,Lauren Bays,Washington,Jr.,5-8,L,111,378
-,Teresa Garza,Northwestern St.,Jr.,5-11,OH,109,378
210,Sophia Del Valle,Presbyterian,So.,5-6,L,97,377
-,Kamaile Hiapo,BYU,Sr.,5-7,L,107,377
-,Hannah Howard,Eastern Mich.,Fr.,5-5,DS,100,377
213,Lani Matavao,Utah Valley,Fr.,5-6,L/DS,103,376
-,Abby Schaefer,Western Ky.,So.,5-7,DS,114,376
215,Sydney Bold,Princeton,Fr.,5-7,L,88,375
-,Kristina   Nika,Jacksonville,So.,5-5,L/DS,105,375
217,Raegan Burns,Kansas,Fr.,5-6,L/DS,107,374
